key,bp,al
1gpu_1Trlayers,8.6685±0.1149,7.4422±0.0316
1gpu_2Trlayers,15.1605±0.3761,12.3406±0.0523
1gpu_3Trlayers,21.5682±0.0403,17.7225±0.0641
1gpu_4Trlayers,28.2956±0.0519,23.0861±0.0671
1gpu_5Trlayers,34.7366±0.1070,28.4502±0.0674
1gpu_6Trlayers,41.1455±0.0843,33.9025±0.0652
1gpu_7Trlayers,47.7362±0.5556,39.4354±0.1062
1gpu_8Trlayers,53.9002±0.1978,44.7524±0.1310
1gpu_9Trlayers,60.3925±0.5930,50.1453±0.1593
1gpu_10Trlayers,66.1035±0.1727,55.6442±0.0895
1gpu_11Trlayers,72.5862±1.0104,60.9667±0.1385
1gpu_12Trlayers,78.5170±0.2529,66.2006±0.1709
2gpu_2Trlayers,16.0708±0.2255,9.5381±0.2422
2gpu_4Trlayers,31.0329±0.0932,19.7004±0.1240
2gpu_6Trlayers,45.7447±0.4431,31.0750±0.2276
2gpu_8Trlayers,60.0061±0.4893,42.5375±0.1133
2gpu_10Trlayers,73.1462±0.2567,54.0838±0.2859
2gpu_12Trlayers,87.1229±0.8418,65.4556±0.2552
3gpu_3Trlayers,24.5356±0.0995,11.9558±0.0979
3gpu_6Trlayers,47.4251±0.4295,24.7074±0.1899
3gpu_9Trlayers,69.8119±0.4838,40.1107±0.2646
3gpu_12Trlayers,91.2259±0.3370,55.5893±0.3054
4gpu_4Trlayers,32.4574±0.4531,15.5513±0.0751
4gpu_8Trlayers,61.5525±0.4182,33.0590±0.5336
4gpu_12Trlayers,89.0970±0.2155,51.0519±0.7986
5gpu_5Trlayers,40.8333±0.0820,21.0439±0.1978
5gpu_10Trlayers,80.3244±0.5639,50.1382±0.9243
6gpu_6Trlayers,48.0672±0.3200,26.2323±0.6030
6gpu_12Trlayers,94.1557±0.6535,60.8546±2.3844
