turn,train_acc,test_acc,train_time
1,0.7567,0.756,19.736242055892944
1,0.849225,0.8435,38.76017117500305
1,0.8675,0.8569,58.047276973724365
1,0.90155,0.8855,77.24940943717957
1,0.904525,0.8793,96.27353048324585
1,0.924925,0.8972,114.69034194946289
1,0.93715,0.8993,134.32350492477417
1,0.9432,0.9016,154.0949993133545
1,0.943975,0.8932,173.9378411769867
1,0.955375,0.9013,193.5618016719818
1,0.95895,0.9034,212.67109990119934
1,0.9524,0.89,231.09653162956238
1,0.96655,0.8979,249.16868662834167
1,0.9625,0.8915,268.6280634403229
1,0.9661,0.8922,287.9728057384491
1,0.972175,0.8978,307.24087023735046
1,0.97545,0.8936,326.66079688072205
1,0.9774,0.8951,346.1104335784912
1,0.972825,0.8878,365.40132761001587
1,0.979325,0.8948,384.47483348846436
2,0.7282,0.7248,19.128389596939087
2,0.844,0.8358,38.32941484451294
2,0.873975,0.8677,57.83738446235657
2,0.8918,0.8797,76.10503435134888
2,0.91395,0.8907,94.58514213562012
2,0.922975,0.8953,113.7278220653534
2,0.92745,0.8909,132.94385290145874
2,0.9432,0.8994,152.21691393852234
2,0.9496,0.9003,171.4791169166565
2,0.954825,0.8999,190.75903940200806
2,0.959025,0.8996,210.0170454978943
2,0.96165,0.8996,228.93582248687744
2,0.96635,0.8974,245.92209434509277
2,0.964825,0.895,262.85206508636475
2,0.9707,0.8938,280.236035823822
2,0.972125,0.8951,297.36840057373047
2,0.97445,0.8958,314.47608733177185
2,0.976075,0.8934,331.4793562889099
2,0.97875,0.8939,348.48102140426636
2,0.976925,0.8883,365.5850191116333
3,0.737575,0.7402,16.93953013420105
3,0.8455,0.8398,34.00503706932068
3,0.8781,0.8679,51.07573485374451
3,0.8958,0.8801,68.01163721084595
3,0.910575,0.8894,85.02634882926941
3,0.924,0.8965,102.68814635276794
3,0.934725,0.8998,120.63886547088623
3,0.94235,0.9021,138.49669075012207
3,0.947475,0.9023,156.21500635147095
3,0.9544,0.9039,173.92652344703674
3,0.95855,0.9054,191.29065442085266
3,0.961025,0.9051,208.60698699951172
3,0.959725,0.8964,227.1793143749237
3,0.967175,0.9026,246.51644778251648
3,0.9689,0.9001,265.99488139152527
3,0.96755,0.8953,285.3576579093933
3,0.97335,0.8988,304.7819080352783
3,0.973875,0.8948,324.0235822200775
3,0.9775,0.8935,343.2174184322357
3,0.979375,0.8959,362.4199161529541
4,0.73045,0.7281,19.179908275604248
4,0.845425,0.8382,38.7461040019989
4,0.879725,0.8695,58.43326711654663
4,0.89585,0.8823,77.99169373512268
4,0.90685,0.8856,97.62787961959839
4,0.922,0.8921,114.54157209396362
4,0.927725,0.8896,131.11308097839355
4,0.9378,0.8947,149.59284687042236
4,0.94475,0.8967,168.7768566608429
4,0.952325,0.8969,188.04701972007751
4,0.957925,0.8987,207.33986926078796
4,0.9612,0.8982,226.42514276504517
4,0.964675,0.8976,244.01990151405334
4,0.966675,0.8961,260.87418603897095
4,0.97055,0.8947,277.714919090271
4,0.971975,0.8978,294.37632632255554
4,0.97325,0.8953,311.11039876937866
4,0.973675,0.895,328.024924993515
4,0.965,0.8833,345.1740736961365
4,0.978925,0.8904,361.85167717933655
5,0.7497,0.746,16.73107075691223
5,0.8506,0.845,33.757546186447144
5,0.880275,0.869,53.54914355278015
5,0.887175,0.8736,73.46641159057617
5,0.912575,0.8886,93.4413366317749
5,0.9217,0.8931,113.27591633796692
5,0.92805,0.8939,133.09180068969727
5,0.94285,0.9019,151.42516922950745
5,0.94595,0.8962,171.46502923965454
5,0.953525,0.9005,191.5628538131714
5,0.958275,0.8968,209.60484838485718
5,0.959925,0.8969,227.36131763458252
5,0.9651,0.8998,245.58762741088867
5,0.966525,0.8978,265.10188007354736
5,0.968225,0.896,283.0952568054199
5,0.972075,0.8936,302.8845157623291
5,0.968825,0.8888,322.6768727302551
5,0.973375,0.8954,342.8082995414734
5,0.9767,0.8938,360.03512692451477
5,0.977775,0.8917,376.75280690193176
6,0.7209,0.7178,16.97995400428772
6,0.844575,0.8379,33.709431171417236
6,0.875075,0.8634,50.47869825363159
6,0.884475,0.8701,67.30483913421631
6,0.9122,0.889,85.62821793556213
6,0.92335,0.8944,105.61664295196533
6,0.930975,0.8959,123.34010100364685
6,0.942025,0.8986,140.21747541427612
6,0.949325,0.8992,156.98766613006592
6,0.9543,0.9014,173.7861099243164
6,0.955375,0.898,190.57418417930603
6,0.957875,0.8995,207.66659593582153
6,0.965425,0.9001,225.58502578735352
6,0.965375,0.8959,245.47566652297974
6,0.970775,0.9004,264.54713773727417
6,0.970825,0.8934,281.12546730041504
6,0.9747,0.8935,298.12189412117004
6,0.97575,0.8969,315.38887786865234
6,0.975025,0.8936,332.0540692806244
6,0.97975,0.8945,348.86708664894104
7,0.746375,0.7454,16.793437242507935
7,0.829575,0.8245,34.907188415527344
7,0.875525,0.8671,53.97263479232788
7,0.894225,0.8827,71.30333685874939
7,0.9082,0.8904,88.05898714065552
7,0.91805,0.8928,107.85297060012817
7,0.9325,0.8971,127.94456720352173
7,0.9302,0.8909,147.65698385238647
7,0.948775,0.8989,166.76135659217834
7,0.94785,0.8969,186.0516436100006
7,0.956925,0.9038,205.51198649406433
7,0.961675,0.9027,224.08422923088074
7,0.96495,0.9,243.8941569328308
7,0.96705,0.8978,263.57896089553833
7,0.962,0.8902,282.35635018348694
7,0.9717,0.8961,301.2720515727997
7,0.974,0.8974,318.34727668762207
7,0.976125,0.8958,335.25578689575195
7,0.959475,0.8781,354.13154101371765
7,0.9779,0.8924,374.1249041557312
8,0.73785,0.7394,19.94839072227478
8,0.844525,0.8405,36.64217233657837
8,0.87965,0.8686,55.69649004936218
8,0.89195,0.8763,75.45132112503052
8,0.9109,0.889,95.12907767295837
8,0.923225,0.8931,111.7960000038147
8,0.93195,0.8952,130.44800901412964
8,0.942575,0.8978,147.9954071044922
8,0.94895,0.8992,167.65263891220093
8,0.954825,0.8989,187.5710105895996
8,0.95895,0.8989,207.0945930480957
8,0.962525,0.899,223.9843475818634
8,0.963875,0.8993,242.2953221797943
8,0.96815,0.8978,262.3008658885956
8,0.97025,0.892,282.22282123565674
8,0.972825,0.8909,302.0711159706116
8,0.969525,0.8916,322.1734480857849
8,0.973525,0.8923,342.083731174469
8,0.9784,0.89,361.7569246292114
8,0.9742,0.8877,378.5348210334778
9,0.662825,0.6632,17.739449739456177
9,0.808225,0.8058,35.346551179885864
9,0.86725,0.8578,52.20909118652344
9,0.885,0.8719,71.63492846488953
9,0.907825,0.8884,90.94365167617798
9,0.9186,0.8923,110.14708518981934
9,0.9292,0.8934,129.45444226264954
9,0.92835,0.8911,148.90687131881714
9,0.94785,0.9003,168.78016781806946
9,0.9526,0.9024,188.6493546962738
9,0.95785,0.9007,208.55884742736816
9,0.954225,0.8964,228.3973536491394
9,0.96075,0.8961,248.47365999221802
9,0.967275,0.8994,268.57399582862854
9,0.96705,0.8953,288.0324077606201
9,0.972125,0.8976,307.3599865436554
9,0.971375,0.8935,326.7032403945923
9,0.974125,0.8946,346.0166509151459
9,0.975,0.8925,365.2403485774994
9,0.9793,0.8946,384.4939649105072
10,0.742075,0.7343,19.324018716812134
10,0.854975,0.8468,38.596731185913086
10,0.880675,0.8689,57.808451890945435
10,0.90195,0.8881,77.06558108329773
10,0.90625,0.8857,96.3345775604248
10,0.926175,0.8978,115.59474420547485
10,0.9294,0.8948,134.69861602783203
10,0.939,0.8981,153.95416164398193
10,0.9474,0.9011,173.30502605438232
10,0.95415,0.9016,192.50044894218445
10,0.957975,0.9025,211.8170566558838
10,0.955225,0.8951,231.210942029953
10,0.9567,0.8907,250.36546635627747
10,0.9626,0.8971,269.6733555793762
10,0.957825,0.8883,288.8258104324341
10,0.972125,0.8945,308.154922246933
10,0.97425,0.8948,327.44999861717224
10,0.97665,0.8923,346.82380056381226
10,0.976825,0.8947,366.0372107028961
10,0.97965,0.892,385.293922662735
