turn,train_acc,test_acc,train_time
1,0.834675,0.8175,36.553311586380005
1,0.911575,0.8693,72.80279183387756
1,0.938325,0.8713,108.83939695358276
1,0.97355,0.8793,144.68960189819336
1,0.98505,0.8709,179.64884161949158
1,0.99205,0.8711,214.59974026679993
1,0.992225,0.866,249.54067945480347
1,0.996775,0.8638,284.50081992149353
1,0.996975,0.8653,319.39086651802063
1,0.9782,0.8487,357.5750415325165
1,0.998475,0.8662,397.0932857990265
1,0.9982,0.8637,436.7188301086426
1,0.99875,0.8664,476.41356205940247
1,0.9988,0.8657,515.3231976032257
1,0.998975,0.8685,551.5803661346436
1,0.99885,0.8658,587.8319416046143
1,0.999375,0.8689,624.0165333747864
1,0.998975,0.864,660.1012110710144
1,0.99935,0.8681,696.3819184303284
1,0.9991,0.8679,732.4708757400513
2,0.8643,0.8523,35.9382758140564
2,0.9066,0.8704,71.86474847793579
2,0.9496,0.8846,107.99148726463318
2,0.97125,0.8812,143.77711534500122
2,0.986775,0.8761,179.60988092422485
2,0.9889,0.8684,215.35684180259705
2,0.99405,0.8693,251.25061011314392
2,0.992875,0.8638,287.00748229026794
2,0.9918,0.8649,322.80049872398376
2,0.997525,0.8692,358.55674052238464
2,0.99765,0.8719,394.3464410305023
2,0.99855,0.8673,429.28976464271545
2,0.9984,0.8689,464.27932476997375
2,0.99845,0.8686,499.32046842575073
2,0.9992,0.8681,534.5094916820526
2,0.998525,0.8668,573.5599572658539
2,0.996725,0.866,612.6826803684235
2,0.9997,0.8682,651.8275082111359
2,0.998825,0.8687,690.9669075012207
2,0.99865,0.8644,729.2836174964905
3,0.850275,0.8314,35.80893063545227
3,0.913475,0.8731,71.56799554824829
3,0.949575,0.8819,107.34991574287415
3,0.97505,0.8739,143.12410831451416
3,0.965975,0.8601,178.90362572669983
3,0.992575,0.8665,214.66619443893433
3,0.97425,0.856,250.43215084075928
3,0.99665,0.8631,286.17130994796753
3,0.9973,0.8618,321.95213770866394
3,0.99755,0.8649,357.7126693725586
3,0.99875,0.8638,393.51001811027527
3,0.997375,0.8593,429.26008105278015
3,0.99835,0.8628,465.0240502357483
3,0.998025,0.8567,500.88819575309753
3,0.997975,0.8595,536.6981835365295
3,0.995125,0.8576,572.5509989261627
3,0.99525,0.8596,608.3097186088562
3,0.999125,0.8597,644.0523774623871
3,0.999175,0.8587,679.8209335803986
3,0.9993,0.865,716.0080318450928
4,0.853475,0.834,37.923203229904175
4,0.919775,0.8763,77.54829978942871
4,0.9474,0.8734,117.25147867202759
4,0.974525,0.8759,156.7746021747589
4,0.987525,0.8761,196.3139193058014
4,0.99385,0.8733,232.54464483261108
4,0.99145,0.8642,268.44892168045044
4,0.997025,0.8697,303.54466485977173
4,0.998225,0.8712,338.53142404556274
4,0.994375,0.8608,373.54386162757874
4,0.997725,0.8615,408.5581359863281
4,0.99065,0.8563,443.54949164390564
4,0.996925,0.8665,478.5049715042114
4,0.9991,0.8675,513.5075089931488
4,0.99895,0.8653,548.5060098171234
4,0.997075,0.8617,584.643844127655
4,0.998275,0.8619,620.9340305328369
4,0.99945,0.8647,657.1510488986969
4,0.999,0.8594,693.4653089046478
4,0.9977,0.8586,729.376306772232
5,0.8653,0.8458,35.753634452819824
5,0.912325,0.8702,71.5065815448761
5,0.94295,0.876,107.24870467185974
5,0.964975,0.8755,143.10925483703613
5,0.9842,0.875,178.87951922416687
5,0.9918,0.8696,214.6468231678009
5,0.995175,0.8673,252.53693771362305
5,0.996975,0.8707,291.09438705444336
5,0.99695,0.8664,330.09975957870483
5,0.99795,0.8699,368.7406084537506
5,0.9944,0.863,406.6647973060608
5,0.998275,0.8669,442.3777539730072
5,0.997975,0.8635,478.13986253738403
5,0.9969,0.8638,513.8430843353271
5,0.992375,0.8592,549.5958626270294
5,0.999075,0.8664,585.1161952018738
5,0.9967,0.8614,620.0368781089783
5,0.999,0.8636,655.0191431045532
5,0.999175,0.8645,690.0049467086792
5,0.99875,0.8658,724.9396793842316
6,0.864425,0.8467,34.90722942352295
6,0.913025,0.8754,69.81421661376953
6,0.949,0.8778,104.73798155784607
6,0.962325,0.873,139.81603026390076
6,0.986725,0.8731,174.7254695892334
6,0.992975,0.8679,209.73991703987122
6,0.994,0.8614,244.71222400665283
6,0.993725,0.8608,279.6297879219055
6,0.996975,0.8672,314.5944859981537
6,0.9978,0.8687,349.49313950538635
6,0.998125,0.8641,384.3977916240692
6,0.995525,0.858,419.32353258132935
6,0.999025,0.8638,455.0279417037964
6,0.99925,0.8623,494.3010585308075
6,0.999075,0.8603,533.0644459724426
6,0.9988,0.8626,571.5152361392975
6,0.998575,0.86,610.098308801651
6,0.9981,0.8618,647.3788511753082
6,0.99845,0.8593,682.3679928779602
6,0.9995,0.8638,717.4149458408356
7,0.8606,0.8467,34.970725536346436
7,0.9114,0.8685,69.93730521202087
7,0.949225,0.8785,104.81241703033447
7,0.9745,0.8797,139.7071554660797
7,0.9767,0.8674,174.61515855789185
7,0.968525,0.8573,209.54360246658325
7,0.990575,0.8676,244.46913719177246
7,0.992725,0.8665,279.3647952079773
7,0.997875,0.8699,314.2547972202301
7,0.99835,0.8678,349.1869776248932
7,0.99835,0.8666,384.09316420555115
7,0.99825,0.8659,419.10223484039307
7,0.9989,0.8675,454.07396507263184
7,0.999,0.8661,489.0022830963135
7,0.998525,0.8668,523.9224720001221
7,0.999475,0.8669,558.8872406482697
7,0.9975,0.8635,593.8722496032715
7,0.9992,0.8665,628.7754375934601
7,0.9996,0.8659,663.7025105953217
7,0.99795,0.8669,702.2972404956818
8,0.862,0.8473,38.50599956512451
8,0.915,0.8702,77.3479335308075
8,0.949125,0.8779,116.5476062297821
8,0.959975,0.8675,155.07355570793152
8,0.98575,0.871,190.13471245765686
8,0.987575,0.8623,225.00879907608032
8,0.995125,0.8716,259.91452407836914
8,0.996325,0.8682,294.8113648891449
8,0.992025,0.8573,329.7380347251892
8,0.9971,0.8657,364.64050221443176
8,0.99535,0.8625,399.60198307037354
8,0.99845,0.8646,434.56011271476746
8,0.998325,0.8638,469.4820730686188
8,0.996925,0.8583,505.48072052001953
8,0.9985,0.8638,541.7174777984619
8,0.99875,0.8628,577.49365067482
8,0.99825,0.8617,613.6757204532623
8,0.99885,0.864,650.0581095218658
8,0.997725,0.8631,686.3756277561188
8,0.99935,0.8623,722.6671359539032
9,0.84215,0.8292,36.24028825759888
9,0.915,0.8773,72.40769147872925
9,0.941,0.8709,108.1651861667633
9,0.9657,0.8736,143.91058373451233
9,0.987175,0.8768,179.7366759777069
9,0.99245,0.8692,218.48966932296753
9,0.98395,0.861,257.74454832077026
9,0.995775,0.8677,296.81094789505005
9,0.99675,0.8641,336.34224152565
9,0.997875,0.8666,375.5535261631012
9,0.998275,0.8692,411.2893257141113
9,0.99605,0.8658,447.0635197162628
9,0.997875,0.8674,482.83657717704773
9,0.996325,0.8639,518.6145746707916
9,0.998925,0.8661,554.4637718200684
9,0.995975,0.8588,590.7548449039459
9,0.999075,0.867,627.1037836074829
9,0.999025,0.8641,663.127466917038
9,0.9961,0.8606,699.3914458751678
9,0.99925,0.8683,735.6724200248718
10,0.86155,0.843,36.272711992263794
10,0.919525,0.8766,72.45194220542908
10,0.951975,0.8838,108.44447422027588
10,0.97765,0.8776,144.21645092964172
10,0.980375,0.8639,179.9651391506195
10,0.9809,0.8618,215.7794201374054
10,0.9949,0.8687,251.46727633476257
10,0.996175,0.8691,287.0954444408417
10,0.99705,0.8697,323.03975105285645
10,0.997575,0.8686,358.8669934272766
10,0.99465,0.8645,394.5829486846924
10,0.998325,0.8648,433.91416001319885
10,0.9972,0.8676,473.2358067035675
10,0.998675,0.8652,512.4271609783173
10,0.9991,0.8652,551.9431326389313
10,0.999075,0.8669,590.5655989646912
10,0.99865,0.8662,626.6230323314667
10,0.997675,0.862,662.4273886680603
10,0.999225,0.8654,698.1797831058502
10,0.99845,0.8655,733.976532459259
