turn,train_acc,test_acc,train_time
1,0.78865,0.7739,41.201130628585815
1,0.858425,0.8349,82.31064987182617
1,0.900925,0.856,123.27903175354004
1,0.906175,0.8624,164.44834184646606
1,0.94515,0.877,205.67988109588623
1,0.9542,0.874,246.85010075569153
1,0.9781,0.8839,288.0313563346863
1,0.985275,0.8843,329.38018250465393
1,0.985525,0.8805,370.7809762954712
1,0.9865,0.8721,412.02303814888
1,0.949525,0.8541,453.1700482368469
1,0.993525,0.8763,494.3099629878998
1,0.994825,0.8797,535.6984398365021
1,0.981225,0.862,577.0822598934174
1,0.996375,0.8755,618.3928625583649
1,0.99505,0.8754,659.7727649211884
1,0.995025,0.8733,701.2514171600342
1,0.997425,0.8749,742.7156617641449
1,0.991825,0.8725,784.0043787956238
1,0.99445,0.8668,825.3736879825592
2,0.743075,0.7275,41.30482268333435
2,0.859425,0.8292,82.6522479057312
2,0.89715,0.8601,124.17596983909607
2,0.9303,0.8768,165.65733432769775
2,0.9496,0.8807,207.12069821357727
2,0.9576,0.8841,248.70283675193787
2,0.970675,0.8775,290.24306082725525
2,0.969,0.8724,331.79769802093506
2,0.976975,0.8757,373.32685112953186
2,0.98695,0.8801,414.8757572174072
2,0.9878,0.877,456.28621315956116
2,0.992825,0.8738,497.9089868068695
2,0.993675,0.874,539.4032621383667
2,0.994325,0.8756,581.0828049182892
2,0.9954,0.8773,622.5427696704865
2,0.9966,0.8727,663.9590985774994
2,0.997525,0.8721,705.4067001342773
2,0.997475,0.8718,747.0064778327942
2,0.9961,0.868,788.6296739578247
2,0.99665,0.8697,830.2051575183868
3,0.544725,0.545,41.34021472930908
3,0.857,0.8309,82.68911671638489
3,0.9144,0.8732,124.06113791465759
3,0.94285,0.8813,165.6035933494568
3,0.9598,0.8878,206.9436445236206
3,0.96265,0.8741,248.2650501728058
3,0.951275,0.8591,289.77981185913086
3,0.985175,0.8816,331.34720182418823
3,0.98485,0.8723,372.6996932029724
3,0.97635,0.8767,414.3177890777588
3,0.99275,0.8771,455.78238439559937
3,0.9832,0.8666,497.1320505142212
3,0.9956,0.8745,538.6768107414246
3,0.995575,0.8706,580.3256928920746
3,0.995175,0.8746,621.9747970104218
3,0.99605,0.8727,663.5460946559906
3,0.997325,0.8726,705.1756482124329
3,0.994875,0.8675,746.6319568157196
3,0.9939,0.8698,788.1971762180328
3,0.99765,0.8675,829.646978855133
4,0.790525,0.7856,41.238046646118164
4,0.8952,0.8661,82.44032669067383
4,0.925925,0.8715,123.97570371627808
4,0.950625,0.889,165.58663415908813
4,0.966325,0.8874,206.95244240760803
4,0.97685,0.8867,248.50930285453796
4,0.983725,0.8777,290.60034251213074
4,0.9867,0.8728,333.00359320640564
4,0.9733,0.8623,375.18919587135315
4,0.9895,0.8638,417.30384850502014
4,0.994375,0.8733,459.390691280365
4,0.868875,0.8021,501.6974513530731
4,0.9955,0.8766,543.3775660991669
4,0.985725,0.8745,585.0430405139923
4,0.993925,0.8747,626.5252010822296
4,0.971675,0.8527,668.0579879283905
4,0.99735,0.8739,709.5973246097565
4,0.998275,0.8694,751.011928319931
4,0.997725,0.8677,792.4997498989105
4,0.998275,0.8682,834.0915801525116
5,0.782225,0.7685,41.31509709358215
5,0.886775,0.8516,82.63255667686462
5,0.920975,0.875,123.92353987693787
5,0.9479,0.8893,165.34208273887634
5,0.9543,0.8794,206.75183534622192
5,0.977975,0.8827,248.2614872455597
5,0.96775,0.8718,289.7274577617645
5,0.962675,0.8618,331.3982479572296
5,0.98865,0.8756,373.10454773902893
5,0.97475,0.8671,414.6300640106201
5,0.992575,0.8782,456.1343743801117
5,0.9945,0.8806,497.6453626155853
5,0.995925,0.8803,539.2124094963074
5,0.989575,0.8689,580.7222578525543
5,0.9943,0.8661,622.327139377594
5,0.99625,0.87,663.7885682582855
5,0.997775,0.8723,705.2235383987427
5,0.9979,0.8702,746.6716248989105
5,0.997125,0.8744,788.0910558700562
5,0.9984,0.8739,829.6838846206665
6,0.7812,0.7672,41.157896518707275
6,0.883025,0.8518,82.48731660842896
6,0.91555,0.8696,123.90939164161682
6,0.9426,0.8832,165.29919147491455
6,0.955675,0.8793,206.74312138557434
6,0.961525,0.8803,248.14016842842102
6,0.972725,0.8752,289.3875744342804
6,0.973575,0.8728,330.8072009086609
6,0.98295,0.8766,372.5357563495636
6,0.991975,0.8795,413.97535610198975
6,0.9904,0.8693,455.25562810897827
6,0.984075,0.8799,496.8656554222107
6,0.99565,0.8758,538.3694272041321
6,0.9946,0.8767,579.9566519260406
6,0.995925,0.875,621.3911607265472
6,0.99765,0.8775,663.0410804748535
6,0.994425,0.8714,704.7366063594818
6,0.998125,0.8755,746.3376684188843
6,0.978825,0.8697,787.7818605899811
6,0.996825,0.877,829.3772432804108
7,0.774475,0.7592,41.40458083152771
7,0.8807,0.8539,82.81276559829712
7,0.895425,0.8565,124.33919596672058
7,0.914,0.8649,165.63141465187073
7,0.954875,0.8834,207.18139934539795
7,0.9374,0.8636,248.57579350471497
7,0.972125,0.8874,289.9740240573883
7,0.978525,0.8785,331.3683626651764
7,0.981175,0.8727,372.7641179561615
7,0.987175,0.8831,414.38101267814636
7,0.9855,0.8657,455.913202047348
7,0.993925,0.8778,497.33354806900024
7,0.9916,0.8802,538.7718720436096
7,0.97945,0.8611,580.2983915805817
7,0.982875,0.8674,622.181548833847
7,0.9942,0.8684,664.3366718292236
7,0.9941,0.8684,706.3067255020142
7,0.997375,0.8745,748.4110679626465
7,0.995675,0.8687,790.5494725704193
7,0.998275,0.8775,832.3969011306763
8,0.81005,0.7876,41.24714493751526
8,0.882925,0.8492,82.52504253387451
8,0.921575,0.8741,123.89947509765625
8,0.93595,0.8785,165.45272779464722
8,0.947025,0.8799,206.9974193572998
8,0.96455,0.8824,248.37959384918213
8,0.980475,0.884,289.7378237247467
8,0.959325,0.8627,331.0190682411194
8,0.988575,0.8771,372.4151864051819
8,0.99295,0.877,413.86781883239746
8,0.98645,0.8743,455.30428075790405
8,0.994375,0.8791,496.7732446193695
8,0.9962,0.8766,538.1049456596375
8,0.996975,0.8718,579.4113571643829
8,0.9955,0.8737,620.8200101852417
8,0.9978,0.8735,662.359833240509
8,0.822925,0.757,703.7514100074768
8,0.962075,0.8704,745.1755275726318
8,0.9885,0.8785,786.5227766036987
8,0.993325,0.8731,827.9763872623444
9,0.781675,0.7663,41.13765215873718
9,0.8758,0.8466,82.50626730918884
9,0.91775,0.8755,123.7917549610138
9,0.94255,0.8825,165.07229447364807
9,0.951625,0.8811,206.4539213180542
9,0.971275,0.8861,247.7381889820099
9,0.96665,0.8742,289.1755335330963
9,0.964125,0.8695,330.61947202682495
9,0.9878,0.8808,372.05475759506226
9,0.98595,0.8748,413.4456720352173
9,0.9714,0.8681,454.8918218612671
9,0.992375,0.8782,496.23218059539795
9,0.996025,0.8764,537.5979175567627
9,0.994475,0.8644,579.0316498279572
9,0.996625,0.8782,620.4519720077515
9,0.997075,0.8747,661.9169673919678
9,0.995925,0.8673,703.4823498725891
9,0.966475,0.8495,744.9668402671814
9,0.98495,0.8579,786.433819770813
9,0.9978,0.8726,827.7057783603668
10,0.807625,0.7891,41.183496952056885
10,0.888225,0.856,82.50621342658997
10,0.897475,0.8524,123.81335139274597
10,0.94085,0.8815,165.13736724853516
10,0.962225,0.8855,206.43605494499207
10,0.973175,0.8907,247.7716908454895
10,0.982925,0.8823,289.2167708873749
10,0.9826,0.8816,330.56845474243164
10,0.990125,0.8824,371.9763550758362
10,0.992625,0.882,413.289865732193
10,0.99255,0.8791,454.68765115737915
10,0.995225,0.8733,496.097603559494
10,0.964025,0.8536,537.381605386734
10,0.9946,0.8729,578.7427597045898
10,0.993,0.8724,620.0411269664764
10,0.9961,0.8722,661.4009552001953
10,0.98675,0.8711,702.7662653923035
10,0.99615,0.8791,744.170257806778
10,0.97085,0.8564,785.4974439144135
10,0.99795,0.8719,826.8965604305267
