turn,train_acc,test_acc,train_time
1,0.629225,0.6244,15.605159282684326
1,0.794425,0.7889,30.77522563934326
1,0.8429,0.8357,45.95240592956543
1,0.858025,0.8524,61.128077030181885
1,0.875475,0.868,76.27353739738464
1,0.886775,0.8767,91.66513180732727
1,0.8996,0.8864,106.67515277862549
1,0.884875,0.8661,121.70244145393372
1,0.9219,0.8971,137.36767840385437
1,0.933625,0.8988,152.43633008003235
1,0.93945,0.9019,167.5636112689972
1,0.9451,0.9015,182.68147540092468
1,0.947375,0.8996,197.7182834148407
1,0.951425,0.8979,212.78428292274475
1,0.953275,0.8972,227.87227320671082
1,0.956875,0.8976,243.45449209213257
1,0.9577,0.8967,260.8527591228485
1,0.962525,0.8972,277.7862603664398
1,0.963475,0.8969,293.3847064971924
1,0.965675,0.8955,309.0446050167084
2,0.6141,0.6038,17.30012083053589
2,0.511875,0.5107,33.55173325538635
2,0.8379,0.8291,48.98015785217285
2,0.85295,0.8479,65.32997798919678
2,0.840375,0.8337,81.35072207450867
2,0.878975,0.8698,97.48196196556091
2,0.88555,0.8768,113.47329449653625
2,0.901775,0.8865,129.52824878692627
2,0.911675,0.8922,145.77492356300354
2,0.91455,0.8901,162.04113626480103
2,0.9255,0.9002,177.61142945289612
2,0.9367,0.903,192.8672478199005
2,0.941825,0.9028,208.20645475387573
2,0.948,0.9015,223.44231724739075
2,0.9509,0.8991,238.63078451156616
2,0.951075,0.8956,253.92442917823792
2,0.9569,0.8987,269.1766872406006
2,0.95925,0.8968,284.46526074409485
2,0.960725,0.8953,299.62125396728516
2,0.96265,0.8941,314.8793749809265
3,0.500225,0.4991,15.235035181045532
3,0.788025,0.7801,30.463399171829224
3,0.840225,0.8354,45.77036952972412
3,0.8509,0.8467,61.0031840801239
3,0.86045,0.8552,76.2254707813263
3,0.879925,0.8737,91.57160377502441
3,0.89255,0.8787,106.86693406105042
3,0.907875,0.8937,122.11224460601807
3,0.9229,0.8988,137.32670712471008
3,0.9299,0.8974,152.53316974639893
3,0.936625,0.8993,167.86398792266846
3,0.939075,0.8931,183.01533842086792
3,0.94715,0.9004,198.32137870788574
3,0.950675,0.9,213.5130054950714
3,0.95325,0.9008,228.6959114074707
3,0.95485,0.8974,243.83807730674744
3,0.95795,0.8978,259.03402757644653
3,0.95655,0.8966,274.1573257446289
3,0.962275,0.8955,289.2468159198761
3,0.965875,0.8962,304.5365149974823
4,0.55415,0.5498,15.141057014465332
4,0.7925,0.7813,30.344865322113037
4,0.84215,0.8363,45.58953809738159
4,0.863425,0.8597,60.753347396850586
4,0.874075,0.8687,76.18852043151855
4,0.887125,0.8806,91.3987021446228
4,0.89465,0.8823,106.82762694358826
4,0.915125,0.8948,122.08408832550049
4,0.92715,0.895,137.1887538433075
4,0.93275,0.8964,152.38142037391663
4,0.937325,0.8947,167.66639590263367
4,0.945175,0.9016,183.01871752738953
4,0.94885,0.8982,198.24203538894653
4,0.948425,0.8959,213.44664478302002
4,0.955525,0.8979,228.61739134788513
4,0.95325,0.8945,243.86759161949158
4,0.959925,0.8954,259.0524115562439
4,0.961075,0.8924,274.25704765319824
4,0.964525,0.8953,289.44338154792786
4,0.9667,0.8954,304.5997745990753
5,0.501775,0.5025,15.250163078308105
5,0.786575,0.7851,30.504197359085083
5,0.827625,0.8258,45.82826066017151
5,0.801125,0.7947,60.95860552787781
5,0.839275,0.8318,76.09250831604004
5,0.8676,0.8632,91.2592122554779
5,0.88465,0.8744,106.39209008216858
5,0.8974,0.8797,121.51364398002625
5,0.906425,0.8861,140.75937724113464
5,0.916925,0.8946,162.23985409736633
5,0.925025,0.8973,179.51147198677063
5,0.929025,0.8976,200.88400077819824
5,0.938775,0.9024,217.94511532783508
5,0.943425,0.9009,233.22407031059265
5,0.946425,0.9007,248.47677373886108
5,0.9478,0.8976,263.7305369377136
5,0.953425,0.8991,278.9030029773712
5,0.9536,0.8965,294.65081000328064
5,0.9579,0.8988,309.7917249202728
5,0.9607,0.8984,324.9072697162628
6,0.5005,0.501,16.31455159187317
6,0.775675,0.7695,31.251954078674316
6,0.8424,0.8336,46.16422772407532
6,0.8544,0.846,61.19057035446167
6,0.874,0.8667,76.24005007743835
6,0.8881,0.8781,91.28288269042969
6,0.901875,0.8883,106.32794713973999
6,0.9108,0.8929,121.49801063537598
6,0.9247,0.8981,136.66114163398743
6,0.926275,0.893,151.84567379951477
6,0.938825,0.8991,167.05285120010376
6,0.94255,0.8999,182.22381973266602
6,0.9474,0.9001,197.36532831192017
6,0.9498,0.8986,212.52270460128784
6,0.952975,0.8989,227.6728367805481
6,0.9562,0.8987,242.81743931770325
6,0.959275,0.8987,257.9613308906555
6,0.96095,0.8936,273.1019639968872
6,0.96235,0.8962,288.24653244018555
6,0.9663,0.896,303.40092515945435
7,0.5009,0.5013,15.029511451721191
7,0.779125,0.7677,34.31154727935791
7,0.85075,0.8465,49.3944034576416
7,0.863775,0.8623,65.16235280036926
7,0.8724,0.8665,80.60414671897888
7,0.88335,0.8741,95.83894920349121
7,0.883175,0.8724,111.06987357139587
7,0.908325,0.8947,126.23271870613098
7,0.911225,0.8916,141.47665548324585
7,0.930675,0.9031,159.1460464000702
7,0.936775,0.9011,174.57834792137146
7,0.941475,0.902,190.00071048736572
7,0.9471,0.9017,205.45252537727356
7,0.949825,0.9003,220.7195761203766
7,0.95365,0.9003,240.7536096572876
7,0.956625,0.9001,257.49948239326477
7,0.95715,0.8978,274.12943291664124
7,0.9509,0.889,291.41099405288696
7,0.9563,0.888,308.1972370147705
7,0.96305,0.8949,324.67301058769226
8,0.500225,0.4991,15.318761348724365
8,0.684,0.6813,30.662574529647827
8,0.821675,0.8142,46.0136284828186
8,0.844575,0.8387,61.88683080673218
8,0.871025,0.8642,77.0214364528656
8,0.8848,0.8754,92.14731168746948
8,0.892525,0.8797,107.27754426002502
8,0.9134,0.8926,122.4043836593628
8,0.926375,0.8957,137.56447052955627
8,0.933325,0.8984,152.45276975631714
8,0.9395,0.899,168.00048232078552
8,0.941225,0.8976,184.32446694374084
8,0.947025,0.9009,200.88837957382202
8,0.9508,0.9013,216.82939529418945
8,0.953175,0.9026,233.0271668434143
8,0.955825,0.8997,249.0073881149292
8,0.959875,0.8993,264.94692945480347
8,0.962325,0.8977,280.64801573753357
8,0.963225,0.8965,297.67913818359375
8,0.9666,0.8986,313.27558279037476
9,0.499775,0.5009,15.22817850112915
9,0.780975,0.7679,31.37816858291626
9,0.8458,0.8372,48.32001042366028
9,0.856275,0.8498,63.04343914985657
9,0.865325,0.858,77.65622282028198
9,0.87635,0.8703,93.42804551124573
9,0.8872,0.8763,110.26784634590149
9,0.89625,0.8826,125.18583273887634
9,0.9058,0.8898,142.28763675689697
9,0.9153,0.8946,158.93886756896973
9,0.9228,0.9009,175.67710733413696
9,0.928525,0.8983,192.1741921901703
9,0.93735,0.8985,208.6632673740387
9,0.943425,0.8963,225.85379338264465
9,0.948625,0.898,242.32491517066956
9,0.950825,0.8945,258.895560503006
9,0.95515,0.8962,274.63904547691345
9,0.95875,0.8961,291.5745482444763
9,0.9599,0.8944,307.6195492744446
9,0.962575,0.8956,324.9545941352844
10,0.61695,0.6131,16.136643648147583
10,0.768925,0.76,32.84310007095337
10,0.8353,0.8283,49.23697304725647
10,0.835575,0.8305,65.16602182388306
10,0.855425,0.8496,81.57980823516846
10,0.876925,0.869,97.53262257575989
10,0.8832,0.8711,114.63492798805237
10,0.899925,0.887,130.50733518600464
10,0.908525,0.89,146.56324648857117
