turn,train_acc,test_acc,train_time
1,0.005,0.005,31.145135164260864
1,0.005,0.005,54.26665639877319
1,0.005,0.005,77.30172991752625
1,0.005,0.005,100.4135251045227
1,0.005,0.005,123.60324263572693
1,0.005,0.005,146.74211955070496
1,0.005,0.005,169.87231731414795
1,0.005,0.005,192.90723776817322
1,0.005,0.005,215.94194269180298
1,0.005,0.005,239.0605390071869
1,0.005,0.005,262.15176010131836
1,0.005,0.005,285.2611873149872
1,0.005,0.005,308.6228153705597
1,0.005,0.005,331.69484400749207
1,0.005,0.005,354.7549149990082
1,0.005,0.005,377.9167113304138
1,0.005,0.005,401.0328722000122
1,0.005,0.005,424.2864339351654
1,0.005,0.005,447.5861506462097
1,0.005,0.005,470.67505502700806
1,0.005,0.005,493.79017066955566
1,0.00744,0.0073,516.9389867782593
1,0.01375,0.0155,539.9771137237549
1,0.03071,0.0376,563.1999804973602
1,0.06421,0.0737,586.4251685142517
1,0.08972,0.1069,609.5147662162781
1,0.11257,0.1274,632.5697355270386
1,0.13117,0.1485,655.7576403617859
1,0.1484,0.1669,678.7988097667694
1,0.16249,0.1788,701.9424247741699
1,0.16673,0.1876,725.0080885887146
1,0.18937,0.209,748.3322434425354
1,0.19417,0.2119,771.3603410720825
1,0.20579,0.2227,794.5745027065277
1,0.21468,0.2255,817.6974709033966
1,0.22083,0.2347,840.7291431427002
1,0.23221,0.2452,863.818421125412
1,0.24345,0.2583,886.8909413814545
1,0.25174,0.2633,909.8989996910095
1,0.2536,0.2616,933.0249359607697
1,0.26311,0.2779,956.1938235759735
1,0.27659,0.2874,979.4359471797943
1,0.28399,0.2928,1002.5036070346832
1,0.29199,0.3041,1025.7170872688293
1,0.29155,0.2999,1048.780415058136
1,0.3029,0.3081,1071.884423494339
1,0.30387,0.3048,1094.9987936019897
1,0.31325,0.3189,1118.1178834438324
1,0.32534,0.323,1141.3094549179077
1,0.33023,0.3278,1164.4037895202637
1,0.33687,0.3345,1187.5057101249695
1,0.34024,0.3376,1210.6679139137268
1,0.33957,0.3304,1233.7800936698914
1,0.34625,0.3418,1256.7739617824554
1,0.35362,0.3492,1279.908706665039
1,0.36464,0.3543,1302.9652526378632
1,0.36875,0.3569,1326.092456817627
1,0.367,0.3556,1349.1530096530914
1,0.37806,0.3622,1372.2507390975952
1,0.37588,0.3513,1395.2556533813477
1,0.38597,0.3652,1418.3327941894531
1,0.38741,0.3718,1441.5147109031677
1,0.39639,0.3752,1464.6234874725342
1,0.40747,0.3849,1487.6734170913696
1,0.41197,0.3817,1510.7798838615417
1,0.41362,0.3873,1533.8430109024048
1,0.42088,0.3932,1557.0431559085846
1,0.42404,0.39,1580.3241374492645
1,0.42388,0.3864,1603.4501724243164
1,0.43248,0.3956,1626.5916776657104
1,0.44026,0.3989,1649.725685596466
1,0.44171,0.4011,1672.734087228775
1,0.45087,0.4034,1695.9076216220856
1,0.45004,0.4086,1718.9377529621124
1,0.45735,0.4009,1742.0337958335876
1,0.45909,0.4126,1765.1420109272003
1,0.46431,0.4107,1788.2642450332642
1,0.46479,0.4095,1811.3603854179382
1,0.47483,0.418,1834.5359117984772
1,0.47411,0.4131,1857.5339579582214
1,0.47897,0.4146,1880.866022348404
1,0.48638,0.4257,1904.091718673706
1,0.49371,0.4221,1927.29177069664
