turn,train_acc,test_acc,train_time
1,0.10621,0.127,37.004772424697876
1,0.16115,0.1838,72.22686171531677
1,0.22618,0.2588,107.46514439582825
1,0.24156,0.2777,142.7366292476654
1,0.2765,0.3099,177.9545135498047
1,0.29134,0.3211,213.23095750808716
1,0.30988,0.3255,248.5071201324463
1,0.34909,0.3611,283.77664971351624
1,0.34934,0.3612,319.0017900466919
1,0.37485,0.3807,354.2361979484558
1,0.40423,0.4027,389.43511605262756
1,0.40614,0.4003,424.71606397628784
1,0.42282,0.4104,459.98102259635925
1,0.4193,0.4062,495.2089502811432
1,0.43978,0.4255,530.5002171993256
1,0.45019,0.4325,565.742342710495
1,0.46839,0.4419,601.0015287399292
1,0.48474,0.4463,636.2462682723999
1,0.47618,0.4362,671.4659204483032
1,0.49924,0.453,706.7014858722687
1,0.5132,0.4591,741.9226338863373
1,0.51143,0.4631,777.0744225978851
1,0.52898,0.4707,812.3419137001038
1,0.54093,0.4727,847.555789232254
1,0.54176,0.4676,882.8405606746674
1,0.55101,0.4764,918.0892133712769
1,0.56724,0.4781,953.3160221576691
1,0.57692,0.4826,988.5671136379242
1,0.56535,0.4748,1023.7777020931244
1,0.58525,0.4796,1059.053727388382
1,0.58586,0.4801,1094.313071489334
1,0.59677,0.4784,1129.4981105327606
1,0.60927,0.4866,1164.742184638977
1,0.61209,0.4805,1199.9948394298553
1,0.6256,0.4887,1235.2277178764343
1,0.62344,0.4825,1270.4508347511292
1,0.64668,0.4903,1305.6292357444763
1,0.64314,0.4863,1340.8124568462372
1,0.66274,0.4947,1376.0037150382996
1,0.66767,0.4864,1411.27135181427
1,0.67275,0.4924,1446.5048983097076
1,0.66684,0.4866,1481.6862807273865
1,0.69184,0.4996,1516.9557049274445
1,0.70107,0.498,1552.1550989151
1,0.6955,0.4998,1587.372798204422
1,0.72256,0.5007,1622.5483062267303
1,0.72097,0.4984,1657.7889757156372
1,0.71469,0.4995,1692.980945110321
1,0.72645,0.4966,1728.213659286499
1,0.73552,0.4979,1763.3844282627106
1,0.74418,0.4984,1798.5785875320435
1,0.74185,0.4968,1833.811755657196
1,0.75033,0.4975,1869.0322737693787
1,0.75533,0.5006,1904.3026359081268
1,0.77212,0.5052,1939.5645196437836
1,0.76478,0.495,1974.8136208057404
1,0.78108,0.5011,2010.0684764385223
1,0.79291,0.5009,2045.351786851883
1,0.79034,0.4966,2080.5773718357086
1,0.78866,0.495,2115.8406710624695
1,0.79746,0.4948,2151.096424341202
1,0.80421,0.499,2186.3666813373566
1,0.81494,0.4994,2221.568233013153
1,0.81681,0.4995,2256.849822998047
1,0.82969,0.5042,2292.0739674568176
1,0.82605,0.5009,2327.343429327011
1,0.83456,0.4984,2362.6115221977234
1,0.83212,0.4999,2397.8322627544403
1,0.83305,0.4957,2433.105276107788
1,0.84382,0.5007,2468.3411514759064
1,0.84671,0.4949,2503.5729048252106
1,0.84897,0.4975,2538.820850610733
1,0.86185,0.4967,2574.109713077545
1,0.86301,0.4962,2609.2732820510864
1,0.8596,0.5009,2644.5152792930603
1,0.86274,0.4945,2679.7865827083588
1,0.86821,0.4961,2715.0713229179382
1,0.87236,0.4978,2750.347212791443
1,0.87594,0.5016,2785.618020057678
1,0.88374,0.4974,2820.8123972415924
1,0.87564,0.493,2856.0497913360596
1,0.88008,0.4935,2891.2789945602417
1,0.88646,0.4994,2926.52258849144
1,0.89801,0.4989,2961.739420413971
1,0.89988,0.5005,2997.0115497112274
1,0.89384,0.498,3032.285185098648
1,0.90072,0.5023,3067.471043586731
1,0.90408,0.5011,3102.730781555176
1,0.90467,0.4978,3137.9685187339783
1,0.90233,0.4943,3173.221450328827
1,0.90899,0.5005,3208.4839606285095
1,0.91184,0.4971,3243.728850364685
1,0.91629,0.4979,3279.03680562973
1,0.91759,0.5031,3314.2593483924866
1,0.92119,0.498,3349.4727940559387
1,0.92368,0.4968,3384.7080726623535
1,0.92199,0.5027,3419.8653378486633
1,0.92406,0.4975,3455.114640712738
1,0.92408,0.4943,3490.277836561203
1,0.92788,0.5015,3525.496719121933
1,0.92922,0.5021,3560.7365131378174
1,0.93341,0.5014,3595.935853242874
1,0.93151,0.4982,3631.131360054016
1,0.93428,0.5007,3666.2959756851196
1,0.93092,0.494,3701.4584732055664
1,0.93495,0.4975,3736.7204332351685
1,0.93981,0.4991,3771.9997198581696
1,0.93876,0.4964,3807.2829484939575
1,0.94356,0.5008,3842.547020673752
1,0.94412,0.5024,3877.8155994415283
1,0.94355,0.501,3913.107484817505
1,0.94389,0.4999,3948.39817738533
1,0.94761,0.497,3983.591325521469
1,0.9494,0.4987,4018.842529773712
1,0.9492,0.4985,4054.1298472881317
1,0.94833,0.5011,4089.3683273792267
1,0.95107,0.4993,4124.627261400223
1,0.95074,0.504,4159.787045478821
1,0.95441,0.5001,4195.02121591568
1,0.95579,0.5014,4230.281458616257
1,0.95594,0.5026,4265.5217118263245
1,0.95622,0.5025,4300.815684556961
1,0.95767,0.4965,4336.070383071899
1,0.95771,0.5006,4371.324912071228
1,0.95796,0.5007,4406.590386629105
1,0.96018,0.5023,4441.841222047806
1,0.95942,0.5036,4477.083885908127
1,0.96149,0.5015,4512.319225549698
1,0.963,0.4982,4547.506425857544
1,0.96507,0.5047,4582.764216423035
1,0.9629,0.5014,4618.002580881119
1,0.96397,0.499,4653.306160449982
1,0.96413,0.5049,4688.552240848541
1,0.966,0.5022,4723.8089826107025
1,0.96488,0.5043,4758.980931520462
1,0.96641,0.5029,4794.191231250763
1,0.96678,0.5068,4829.424615383148
1,0.96654,0.5069,4864.659033298492
1,0.96907,0.5073,4899.924774646759
1,0.96801,0.5058,4935.230975389481
1,0.96912,0.5053,4970.430827379227
1,0.97017,0.501,5005.644059181213
