turn,train_acc,test_acc,train_time
1,0.09528,0.1142,47.87111568450928
1,0.16537,0.1806,93.16392135620117
1,0.21752,0.2372,138.47219109535217
1,0.2682,0.2864,183.75171852111816
1,0.3004,0.3108,229.0167682170868
1,0.33013,0.3399,274.2651779651642
1,0.36142,0.3718,319.4895713329315
1,0.38723,0.3873,364.76746702194214
1,0.40146,0.3898,410.02082920074463
1,0.43326,0.417,455.2745008468628
1,0.44212,0.4184,500.5072455406189
1,0.46593,0.4335,545.789231300354
1,0.48608,0.4412,591.0147485733032
1,0.50077,0.456,636.243537902832
1,0.49451,0.4467,681.5055377483368
1,0.5254,0.4611,726.7882633209229
1,0.54128,0.4625,772.0192065238953
1,0.53582,0.4586,817.2414269447327
1,0.56943,0.4743,862.5358126163483
1,0.57212,0.4789,907.8381490707397
1,0.59039,0.4805,953.0533139705658
1,0.60889,0.4845,998.3178803920746
1,0.62465,0.4866,1043.5489401817322
1,0.62258,0.4834,1088.7959320545197
1,0.64212,0.4863,1133.9939594268799
1,0.66188,0.4946,1179.2385115623474
1,0.67045,0.4917,1224.5233626365662
1,0.67485,0.4878,1269.780514240265
1,0.69799,0.4986,1315.0043969154358
1,0.70164,0.491,1360.2262682914734
1,0.71919,0.4974,1405.4166338443756
1,0.72606,0.4942,1450.6070549488068
1,0.73514,0.489,1495.8328807353973
1,0.73219,0.4893,1541.036295890808
1,0.74532,0.488,1586.2722880840302
1,0.7588,0.4891,1631.482383966446
1,0.76183,0.4834,1676.709673166275
1,0.79386,0.4926,1721.9596374034882
1,0.79624,0.4877,1767.1641364097595
1,0.79399,0.4842,1812.4140236377716
1,0.80337,0.4868,1857.6373190879822
1,0.82162,0.4889,1902.88724899292
1,0.82528,0.4842,1948.1008505821228
1,0.83721,0.4951,1993.3227396011353
1,0.84024,0.4927,2038.5396053791046
1,0.83673,0.4775,2083.8008823394775
1,0.8508,0.4868,2129.0149970054626
1,0.85923,0.487,2174.264324903488
1,0.85485,0.4884,2219.5286502838135
1,0.8693,0.4822,2264.756813287735
1,0.87899,0.4827,2310.0319271087646
1,0.88132,0.4841,2355.316143989563
1,0.89165,0.4833,2400.54438495636
1,0.89621,0.4846,2445.772489786148
1,0.89608,0.4835,2490.9555480480194
1,0.90013,0.4804,2536.172205209732
1,0.89999,0.4797,2581.440319299698
1,0.90393,0.4781,2626.710526704788
1,0.91005,0.4805,2671.9803428649902
1,0.90552,0.4754,2717.2127108573914
1,0.91768,0.4863,2762.4450464248657
1,0.92017,0.4873,2807.668294429779
1,0.92088,0.4807,2852.9553031921387
1,0.91903,0.4847,2898.1772022247314
1,0.9304,0.4851,2943.453543663025
1,0.92694,0.4797,2988.6797909736633
1,0.92911,0.4837,3033.913600206375
1,0.93135,0.4812,3079.176079750061
1,0.93573,0.4874,3124.401665687561
1,0.93622,0.4817,3169.6332635879517
1,0.93732,0.4793,3214.858235836029
1,0.93777,0.4788,3260.1015787124634
1,0.94232,0.4805,3305.3262763023376
1,0.94232,0.4801,3350.5720047950745
1,0.94466,0.479,3395.817097425461
1,0.95204,0.4782,3441.0634701251984
1,0.94984,0.4818,3486.2909712791443
1,0.95036,0.4803,3531.5289435386658
1,0.9526,0.479,3576.7874863147736
1,0.95339,0.4786,3622.0089910030365
1,0.95252,0.4858,3667.2478833198547
1,0.95312,0.4851,3712.469290494919
1,0.95809,0.4805,3757.7083745002747
1,0.95875,0.4796,3802.9656772613525
1,0.95874,0.481,3848.2146933078766
1,0.96093,0.4785,3893.4563517570496
1,0.96458,0.4825,3938.6818277835846
1,0.96271,0.4749,3983.9672124385834
1,0.96248,0.4746,4029.2384655475616
1,0.96378,0.4807,4074.5278804302216
1,0.96452,0.4764,4119.771785974503
1,0.9668,0.4797,4165.001605272293
1,0.96656,0.4756,4210.273287057877
1,0.96676,0.4774,4255.562384605408
1,0.9705,0.4778,4300.816595077515
1,0.97129,0.4801,4346.036026477814
1,0.97315,0.4825,4391.296152591705
1,0.97268,0.4762,4436.512884616852
1,0.97364,0.4784,4481.750124931335
1,0.97341,0.4797,4526.983604431152
1,0.97463,0.4815,4572.208154201508
1,0.97357,0.4784,4617.443531513214
1,0.97686,0.4841,4662.690343379974
1,0.97592,0.4798,4707.9605350494385
1,0.97526,0.4793,4753.207052707672
1,0.97713,0.4795,4798.478564977646
1,0.97828,0.4793,4843.68502831459
1,0.97963,0.4817,4888.8945207595825
1,0.97758,0.4819,4934.111364364624
1,0.97925,0.4782,4979.338629484177
1,0.98081,0.4797,5024.581446647644
1,0.98111,0.4787,5069.850239753723
1,0.98087,0.4862,5115.133414983749
1,0.98237,0.4755,5160.345087528229
1,0.98322,0.4821,5205.645700216293
1,0.98322,0.4787,5250.866298913956
1,0.98295,0.4853,5296.143778085709
1,0.98386,0.4831,5341.382421731949
1,0.98499,0.4819,5386.611592531204
1,0.9844,0.4772,5431.864974498749
1,0.98566,0.4812,5477.093652963638
1,0.98514,0.4846,5522.324959039688
1,0.98587,0.485,5567.573543310165
1,0.98653,0.486,5612.812249183655
1,0.98719,0.4822,5658.053510904312
1,0.98765,0.4816,5703.312240600586
1,0.98829,0.4777,5748.589821100235
1,0.98771,0.4777,5793.820111274719
1,0.98896,0.4835,5839.039039134979
1,0.98837,0.4843,5884.2802765369415
1,0.98901,0.4811,5929.58083319664
1,0.98917,0.4786,5974.805735588074
1,0.99008,0.4789,6020.03898191452
1,0.99043,0.486,6065.286677837372
1,0.98974,0.4812,6110.540677070618
1,0.99067,0.4829,6155.806129455566
1,0.99078,0.4849,6201.059730291367
1,0.99098,0.4842,6246.322449684143
1,0.99128,0.485,6291.541825056076
1,0.99111,0.4829,6336.792242765427
1,0.99135,0.4803,6382.047557115555
1,0.99182,0.4849,6427.271266460419
1,0.99115,0.4812,6472.523999214172
1,0.99233,0.4855,6517.766798257828
1,0.99267,0.4856,6563.045436620712
1,0.99232,0.4845,6608.332221508026
1,0.99269,0.4837,6653.618042230606
1,0.99314,0.4837,6698.889477491379
1,0.99333,0.4836,6744.188503265381
1,0.99322,0.4798,6789.480362415314
1,0.99366,0.481,6834.699649095535
1,0.994,0.4823,6879.973625421524
1,0.99394,0.4842,6925.19184756279
1,0.99392,0.4867,6970.450048923492
1,0.99473,0.4865,7015.696738243103
1,0.99423,0.4785,7060.930225133896
1,0.99457,0.4809,7106.253799915314
1,0.99443,0.4803,7151.521315336227
1,0.99492,0.483,7196.7560794353485
1,0.99483,0.4846,7242.051577568054
1,0.99468,0.4846,7287.2988204956055
1,0.99538,0.4825,7332.522996425629
1,0.99547,0.4832,7377.826802492142
1,0.99556,0.4884,7423.060515403748
1,0.99533,0.4841,7468.302129268646
1,0.99558,0.4819,7513.563218832016
1,0.99586,0.4841,7558.790188789368
1,0.99562,0.4836,7604.062039375305
1,0.99589,0.4844,7649.318722963333
1,0.99595,0.4872,7694.532325744629
1,0.99622,0.4777,7739.772660255432
1,0.99591,0.4864,7785.017594099045
1,0.99584,0.4842,7830.301132917404
1,0.99615,0.4829,7875.554128408432
1,0.99633,0.4827,7920.828519105911
1,0.99619,0.4834,7966.0409297943115
1,0.99644,0.4874,8011.274390935898
