turn,train_acc,test_acc,train_time
1,0.005,0.005,39.569659948349
1,0.005,0.005,77.46370077133179
1,0.005,0.005,115.27015495300293
1,0.005,0.005,153.1551034450531
1,0.005,0.005,191.11230063438416
1,0.005,0.005,228.95443415641785
1,0.005,0.005,266.794979095459
1,0.005,0.005,304.63193702697754
1,0.005,0.005,342.5933446884155
1,0.005,0.005,380.5998167991638
1,0.005,0.005,418.6776671409607
1,0.005,0.005,456.7057192325592
1,0.005,0.005,494.7129855155945
1,0.005,0.005,532.8108685016632
1,0.005,0.005,570.8990767002106
1,0.005,0.005,608.9012410640717
1,0.005,0.005,646.9760985374451
1,0.005,0.005,685.1624069213867
1,0.005,0.005,723.1564424037933
1,0.005,0.005,761.1625728607178
1,0.005,0.005,799.2280464172363
1,0.005,0.005,837.211106300354
1,0.00714,0.0066,875.3703999519348
1,0.01358,0.0136,913.4442555904388
1,0.03462,0.0422,951.5146019458771
1,0.06762,0.0823,989.6422851085663
1,0.09342,0.1109,1027.6854140758514
1,0.10853,0.1296,1065.747198343277
1,0.13837,0.1591,1103.776213645935
1,0.14987,0.1759,1141.818081855774
1,0.16609,0.1875,1179.9061558246613
1,0.18182,0.196,1217.935867547989
1,0.18124,0.2052,1256.0250985622406
1,0.20472,0.2196,1294.0890758037567
1,0.2054,0.2164,1332.167498588562
1,0.2147,0.2333,1370.1666622161865
1,0.23344,0.2487,1408.3018860816956
1,0.24656,0.2547,1446.4062008857727
1,0.24138,0.2602,1484.4739010334015
1,0.25694,0.2662,1522.5887370109558
1,0.2627,0.2736,1560.6257309913635
1,0.27229,0.277,1598.7225487232208
1,0.2813,0.2884,1636.6833198070526
1,0.28655,0.2839,1674.7866723537445
1,0.29519,0.2934,1712.7908577919006
1,0.30349,0.305,1750.7709023952484
1,0.30712,0.3054,1788.8199801445007
1,0.30437,0.2966,1826.9501068592072
1,0.3211,0.3157,1864.9959161281586
1,0.31898,0.3132,1903.0481159687042
1,0.33681,0.3274,1941.1264235973358
1,0.33653,0.3199,1979.2658846378326
1,0.33605,0.3215,2017.3514914512634
1,0.34835,0.3316,2055.3295192718506
1,0.34304,0.3295,2093.374746322632
1,0.36188,0.3439,2131.390157699585
1,0.36242,0.3372,2169.4328484535217
1,0.37491,0.3504,2207.5393493175507
1,0.37884,0.3516,2245.565447807312
1,0.37914,0.3556,2283.6460070610046
1,0.3922,0.3612,2321.722784280777
1,0.39695,0.3609,2359.8284146785736
1,0.39906,0.3589,2397.838211297989
1,0.40434,0.3619,2435.9703063964844
1,0.4097,0.3662,2474.0202519893646
1,0.41223,0.3702,2512.0463268756866
1,0.427,0.3679,2550.0232849121094
1,0.42757,0.3751,2588.018398284912
1,0.42865,0.3645,2626.031220436096
